column_name,xpath
result_indicator_period_period_end_iso_date,/iati-activities/iati-activity/result/indicator/period/period-end/@iso-date
result_indicator_period_period_end,/iati-activities/iati-activity/result/indicator/period/period-end/text()
result_indicator_period_target_value,/iati-activities/iati-activity/result/indicator/period/target/@value
result_indicator_period_target_location_ref,/iati-activities/iati-activity/result/indicator/period/target/location/@ref
result_indicator_period_target_location_location_reach_code,/iati-activities/iati-activity/result/indicator/period/target/location/location-reach/@code
result_indicator_period_target_location_location_reach,/iati-activities/iati-activity/result/indicator/period/target/location/location-reach/text()
result_indicator_period_target_location_location_id_code,/iati-activities/iati-activity/result/indicator/period/target/location/location-id/@code
result_indicator_period_target_location_location_id_vocabulary,/iati-activities/iati-activity/result/indicator/period/target/location/location-id/@vocabulary
result_indicator_period_target_location_location_id,/iati-activities/iati-activity/result/indicator/period/target/location/location-id/text()
result_indicator_period_target_location_name_narrative_xml:lang,/iati-activities/iati-activity/result/indicator/period/target/location/name/narrative/@xml:lang
result_indicator_period_target_location_name_narrative,/iati-activities/iati-activity/result/indicator/period/target/location/name/narrative/text()
result_indicator_period_target_location_description_narrative_xml:lang,/iati-activities/iati-activity/result/indicator/period/target/location/description/narrative/@xml:lang
result_indicator_period_target_location_description_narrative,/iati-activities/iati-activity/result/indicator/period/target/location/description/narrative/text()
result_indicator_period_target_location_activity_description_narrative_xml:lang,/iati-activities/iati-activity/result/indicator/period/target/location/activity-description/narrative/@xml:lang
result_indicator_period_target_location_activity_description_narrative,/iati-activities/iati-activity/result/indicator/period/target/location/activity-description/narrative/text()
result_indicator_period_target_location_administrative_code,/iati-activities/iati-activity/result/indicator/period/target/location/administrative/@code
result_indicator_period_target_location_administrative_vocabulary,/iati-activities/iati-activity/result/indicator/period/target/location/administrative/@vocabulary
result_indicator_period_target_location_administrative_level,/iati-activities/iati-activity/result/indicator/period/target/location/administrative/@level
result_indicator_period_target_location_administrative,/iati-activities/iati-activity/result/indicator/period/target/location/administrative/text()
result_indicator_period_target_location_point_srsName,/iati-activities/iati-activity/result/indicator/period/target/location/point/@srsName
result_indicator_period_target_location_point_pos,/iati-activities/iati-activity/result/indicator/period/target/location/point/pos/text()
